"Code";"Libre";"Nom";"CP";"Com";"Ville";"Com";"Téléphone";"Com";"";"";"";""
"F0155";"DUFAUD";"";"";"";"";"";"";"";"";"";"";""
"F00000000552";"DUSHOW";"PARIS";"";"";"";"";"";"";"";"";"";""
"F00000000459";"DV2";"93290";"TREMBLAY";"EN";"FRANCE";"03";"87";"30";"00";"00";"";""
"F0157";"DYNA";"SYSTEMS";"";"";"";"";"";"";"";"";"";""
"F0156";"DYNAMIC";"AUDIO";"";"";"";"";"";"";"";"";"";""
"F0158";"EARSONIC";"";"";"";"";"";"";"";"";"";"";""
"F0159";"EASY";"COM";"AUDIO";"34470";"PEROLS";"0467272776";"";"";"";"";"";""
"F0160";"ECHELLE";"42";"";"";"";"";"";"";"";"";"";""
"F0161";"ECHINARD";"ET";"FAURE";"";"";"";"";"";"";"";"";""
"F00000000507";"ECLALUX";"94386";"BONNEUIL";"SUR";"MARNE";"CEDEX";"0146729953";"";"";"";"";""
"F0162";"EDF-GDF";"";"";"";"";"";"";"";"";"";"";""
"F0163";"EDIROL";"77462";"ST";"THILBAULT-LAGNY";"CEDEX";"0810000371";"";"";"";"";"";""
"F0164";"EDMOND";"PETIT";"94124";"FONTENAY-SOUS-BOIS";"CEDEX";"0145141820";"";"";"";"";"";""
"F00000000539";"EET";"";"";"";"";"";"";"";"";"";"";""
"F00000000544";"ELECTRO";"DEPOT";"";"";"";"";"";"";"";"";"";""
"F0165";"ENCHERES";"NET";"";"";"";"";"";"";"";"";"";""
"F00000000480";"ENTREPRISE";"RENT-A-CAR";"42100";"SAINT";"ETIENNE";"0477341342";"";"";"";"";"";""
"F0166";"EQUIP'AUTO";"42042";"ST";"ETIENNE";"CEDEX";"1";"04";"77";"32";"16";"33";""
"F00000000003";"ESL";"34970";"LATTES";"0499132828";"";"";"";"";"";"";"";""
"F0168";"ESPACE";"MUSIQUE";"34130";"ST";"AUNES";"04";"67";"20";"03";"89";"";""
"F0172";"EURO";"TYRE";"";"";"";"";"";"";"";"";"";""
"F0169";"EUROMASTER";"";"";"";"";"";"";"";"";"";"";""
"F0171";"EUROP";"POIDS";"LOURDS";"";"";"";"";"";"";"";"";""
"F0170";"EUROPODIUM";"67190";"GRESSWILLER";"0388487788";"";"";"";"";"";"";"";""
"F0173";"EVI";"77185";"LOGNES";"0164800090";"";"";"";"";"";"";"";""
"F0175";"EXPE-SPELEMAT";"";"";"";"";"";"";"";"";"";"";""
"F00000000553";"EXPELEC";"";"";"";"";"";"";"";"";"";"";""
"F0174";"EXPERT";"";"";"";"";"";"";"";"";"";"";""
"F0176";"FA";"MUSIQUE";"69120";"VAULX-EN-VELIN";"0478790398";"";"";"";"";"";"";""
"F00000000491";"FACE";"2850";"BOOM";"003238446797";"";"";"";"";"";"";"";""
"F0177";"FARNELL";"";"";"";"";"";"";"";"";"";"";""
"F0178";"FASCEN";"67319";"WASSELONNE";"CEDEX";"03";"88";"87";"44";"22";"";"";""
"F0179";"FAVACOUTIQ";"";"";"";"";"";"";"";"";"";"";""
"F0180";"FAVIER";"";"";"";"";"";"";"";"";"";"";""
"F00000000540";"FDE";"DISTRIBATT";"42160";"ANDREIZUEX";"BOUTHEON";"0477558879";"";"";"";"";"";""
"F00000000576";"FERMETURES";"HABITAT";"";"";"";"";"";"";"";"";"";""
"F0181";"FEU";"VERT";"";"";"";"";"";"";"";"";"";""
"F0182";"FNAC";"SA";"91323";"WISSOUS";"CEDEX";"";"";"";"";"";"";""
"F0183";"FONTVIEILLE";"";"";"";"";"";"";"";"";"";"";""
"F0184";"FOREZ";"BOISSON";"";"";"";"";"";"";"";"";"";""
"F0185";"FOREZ";"COMBUSTION";"";"";"";"";"";"";"";"";"";""
"F00000000528";"FORM";"XL";"55270";"BOUREUILLES";"0329807832";"";"";"";"";"";"";""
"F0249";"FRAIKIN";"LOCAMION";"0477930019";"";"";"";"";"";"";"";"";""
"F00000000534";"FRANCE";"CARS";"42000";"SAINT-ETIENNE";"0477011100";"";"";"";"";"";"";""
"F0187";"FRANCE";"TELECOM";"";"";"";"";"";"";"";"";"";""
"F00000000516";"FREEVOX";"93420";"VILLEPINTE";"0820230007";"";"";"";"";"";"";"";""
"F0188";"GALAXIE";"MOTO";"FRS";"";"";"";"";"";"";"";"";""
"F0189";"GALAXY";"PRODUCTION";"";"";"";"";"";"";"";"";"";""
"F0190";"GAMME";"VERT";"";"";"";"";"";"";"";"";"";""
"F0191";"GAP";"ASSURANCE";"";"";"";"";"";"";"";"";"";""
"F0339";"GARAGE";"DE";"VILLETTE";"42580";"L'ETRAT";"0477913676";"";"";"";"";"";""
